ScripCode,ScripId,BSE Exclusive,Status,GroupName,GSM,Long_Term_Additional_Surveillance_Measure (Long Term ASM),Unsolicited_SMS,Insolvency_Resolution_Process(IRP),Short_Term_Additional_Surveillance_Measure (Short Term ASM),Default,ICA,Filler4,Filler5,Pledge,Add-on_PB,Total Pledge,Social Media Platforms,ESM,Loss making,The Overall encumbered share in the scrip is more than 50 Percent.,Under Z Group,Company has failed to pay Annual listing fee,Filler12,Derivative contracts in the scrip to be moved out of F and O,Filler13,Filler14,Filler15,Filler16
539725,GOKULAGRO,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539724,HYPERSOFT,Y,A,XT,2,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539697,HILIKS,Y,A,XT,0,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
539692,IFINSER,Y,A,X,100,100,100,100,1,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539691,RGCORP,Y,S,Z,3,100,100,100,100,100,100,,,100,100,100,100,100,100,100,0,0,,100,,,,
539686,KPEL,Y,A,X,100,3,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539683,SHIVKAMAL,Y,A,X,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539682,LUCENT,Y,A,T,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539681,DAL,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
539680,GANGAPHARM,Y,A,M,1,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539679,KAPILRAJ,Y,A,XT,2,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539678,QUICKHEAL,N,A,B,100,1,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539673,RCL,Y,A,Z,0,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539669,RGF,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
539662,BFLAFL,Y,A,X,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539661,ACEMEN,Y,A,XT,0,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539660,BESTAGRO,Y,A,A,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539659,VIDLI,Y,A,T,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
539658,TEAMLEASE,N,A,A,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539637,BVL,Y,S,M,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539636,PRECAM,N,A,B,100,1,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539621,BCLENTERPR,Y,A,X,0,1,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539620,KEIL,Y,A,X,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539607,BLUECLOUDS,Y,A,X,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539599,KEL,Y,A,X,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539598,CGFL,Y,A,X,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539596,DELTA,Y,A,X,100,1,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539594,MISHTANN,Y,A,B,100,1,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539593,SHIVA,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539584,SIPTL,Y,A,XT,2,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
