New Entries:
| India Glycols Limited               | A                                   | B                    |
| INTERNATIONAL COMBUSTION (INDI      | XT                                  | X                    |
| Arfin India Limited                 | XT                                  | X                    |
| COMPETENT AUTOMOBILES CO.LTD.       | XT                                  | X                    |
| CHENNAI MEENAKSHI MULTISPECIAL      | X                                   | XT                   |
| Liberty Shoes Limited               | B                                   | T                    |
| Uma Exports Limited                 | B                                   | T                    |
| ADDI INDUSTRIES LTD.                | XT                                  | X                    |
| Lypsa Gems & Jewellery Limited      | T                                   | B                    |
| ULTRAMARINE & PIGMENTS LTD.         | X                                   | B                    |
| V.B.DESAI FINANCIAL SERVICES L      | XT                                  | X                    |
| GINI SILK MILLS LTD.                | X                                   | XT                   |
| SWISS MILITARY CONSUMER GOODS       | XT                                  | X                    |
| PURSHOTTAM INVESTOFIN LTD           | XT                                  | X                    |
| Take Solutions Limited              | T                                   | B                    |
| KEMISTAR CORPORATION LIMITED        | XT                                  | X                    |
| The Investment Trust Of India Limited | B                                   | T                    |
| Magnum Ventures Limited             | T                                   | B                    |
| COSMO FERRITES LTD.                 | XT                                  | X                    |
| YAAN ENTERPRISES LIMITED            | X                                   | XT                   |
| Pearl Global Industries Limited     | T                                   | B                    |
| SHREYAS INTERMEDIATES LTD.          | XT                                  | X                    |
| G. G. Dandekar Properties Limi      | X                                   | XT                   |
| RAPICUT CARBIDES LTD.               | XT                                  | X                    |
| Celebrity Fashions Limited          | B                                   | T                    |
| JAYSYNTH DYESTUFF (INDIA) LTD.      | X                                   | XT                   |
| AAA Technologies Limited            | B                                   | T                    |
| MODERN STEELS LTD.                  | X                                   | XT                   |
| Inox Green Energy Services Limited  | B                                   | T                    |
| Shiva Granito Export Limited        | MT                                  | M                    |
| Emami Realty Limited                | B                                   | T                    |
| TOYAM SPORTS LIMITED                | XT                                  | X                    |
| SYSTEMATIX SECURITIES LTD.          | XT                                  | X                    |
| ELNET TECHNOLOGIES LTD.             | XT                                  | X                    |
| CITY CROPS AGRO LIMITED             | MT                                  | M                    |
| SHARANAM INFRAPROJECT AND TRAD      | X                                   | XT                   |
| Omax Autos Limited                  | B                                   | T                    |
| Ganesha Ecosphere Limited           | B                                   | A                    |
| Edvenswa Enterprises Limited        | X                                   | XT                   |
| MEFCOM CAPITAL MARKETS LTD.         | XT                                  | X                    |
| RAHUL MERCHANDISING LTD.            | XT                                  | X                    |
| Eurotex Industries and Exports Limited | T                                   | B                    |
| SecMark Consultancy Limited         | B                                   | T                    |
| Rajputana Investment and Finan      | XT                                  | X                    |
| VAARAD VENTURES LTD                 | XT                                  | X                    |
| CAPTAIN POLYPLAST LTD               | X                                   | XT                   |
| BCPL Railway Infrastructure Li      | B                                   | T                    |
| Premier Polyfilm Limited            | B                                   | T                    |
| Flexituff Ventures International Limited | T                                   | B                    |
| Som Distilleries & Breweries Limited | B                                   | A                    |
| Authum Investment & Infrastruc      | A                                   | B                    |
| Alps Industries Limited             | T                                   | B                    |
| Max India Limited                   | B                                   | T                    |
| Mishtann Foods Limited              | X                                   | B                    |
| Sundaram Brake Linings Limited      | T                                   | B                    |
| SHUKRA BULLIONS LTD.                | X                                   | XT                   |
| GLOBAL OFFSHORE SERVICES LTD.       | X                                   | XT                   |
| OVOBEL FOODS LTD.                   | XT                                  | X                    |
| Nirmitee Robotics India Limite      | MS                                  | TS                   |
| Mitshi India Limited                | XT                                  | X                    |
| BIOGEN PHARMACHEM INDUSTRIES L      | X                                   | XT                   |
| Anand Rathi Wealth Limited          | B                                   | A                    |
| MARG TECHNO PROJECTS LIMITED        | X                                   | XT                   |
| JYOTI LTD.                          | XT                                  | X                    |
| Octaware Technologies Limited       | M                                   | MT                   |
| MONEY MASTERS LEASING & FINANC      | M                                   | MT                   |
| COLORCHIPS NEW MEDIA LIMITED        | X                                   | XT                   |
| Advik Capital Limited               | X                                   | XT                   |
| Noida Toll Bridge Company Limited   | B                                   | T                    |
| SIMRAN FARMS LTD.                   | X                                   | XT                   |
| LIBORD FINANCE LTD                  | X                                   | XT                   |
| NATURA HUE CHEM LTD.                | XT                                  | X                    |
| SHANTIDOOT INFRA SERVICES LIMI      | M                                   | MT                   |
| SIMPLEX CASTINGS LTD.               | XT                                  | X                    |
| Neil Industries Ltd.                | XT                                  | X                    |
| TGV SRAAC Limited                   | A                                   | B                    |
| PRIME PROPERTY DEVELOPMENT COR      | XT                                  | X                    |
| TGB Banquets And Hotels Limited     | B                                   | T                    |
| UNISHIRE URBAN INFRA LTD            | M                                   | MT                   |
| Texmo Pipes and Products Limited    | T                                   | B                    |
| Ultracab (India) Limited            | X                                   | XT                   |
| Ambica Agarbathies & Aroma industries Limited | T                                   | B                    |
| Dynamic Cables Limited              | T                                   | B                    |
| GLOBUS CONSTRUCTORS & DEVELOPE      | XT                                  | X                    |
| Surya Roshni Limited                | A                                   | B                    |
| PRIME URBAN DEVELOPMENT INDIA       | X                                   | XT                   |
| Aarti Pharmalabs Limited            | B                                   | A                    |
| Prithvi Exchange (India) Limit      | X                                   | XT                   |
| STL Global Limited                  | T                                   | B                    |
| N.G.INDUSTRIES LTD.                 | XT                                  | X                    |
| F MEC INTERNATIONAL FINANCIAL       | XT                                  | X                    |
| Ausom Enterprise Limited            | T                                   | B                    |
| VIRAT CRANE INDUSTRIES LTD.         | XT                                  | X                    |
